Date,Stock Splits
1997-08-19 00:00:00+05:30,2.0
1999-02-10 00:00:00+05:30,2.0
2000-01-24 00:00:00+05:30,2.0
2000-01-27 00:00:00+05:30,2.0
2004-07-01 00:00:00+05:30,4.0
2006-07-13 00:00:00+05:30,2.0
2014-12-02 00:00:00+05:30,2.0
2015-06-15 00:00:00+05:30,2.0
2018-09-04 00:00:00+05:30,2.0
